session,deserve_treatment,top_performer,high_envelope,effort,rank,endowment,report,belief,age,female
4,0,Bottom performer,15 Euros,29,19,15,1,13,23,1
4,0,Top performer,15 Euros,37,9,15,2,4,18,0
4,0,Bottom performer,15 Euros,30,18,15,1,18,21,0
4,0,Top performer,10 Euros,41,3,10,2,4,19,0
4,0,Top performer,10 Euros,40,6,10,1,3,21,1
4,0,Top performer,10 Euros,41,3,10,2,10,27,1
4,0,Top performer,10 Euros,44,2,10,2,3,22,0
4,0,Top performer,10 Euros,37,9,10,2,9,21,1
4,0,Top performer,15 Euros,38,7,15,2,7,27,0
4,0,Top performer,10 Euros,37,9,10,1,4,25,0
4,0,Bottom performer,15 Euros,27,24,15,1,20,18,1
4,0,Top performer,15 Euros,38,7,15,1,8,25,0
4,0,Top performer,10 Euros,41,3,10,1,5,21,0
4,0,Bottom performer,10 Euros,32,16,10,2,18,23,0
4,0,Bottom performer,10 Euros,34,13,10,1,19,23,0
4,0,Bottom performer,15 Euros,28,21,15,2,17,22,1
4,0,Bottom performer,15 Euros,28,21,15,5,17,20,1
4,0,Top performer,15 Euros,52,1,15,1,1,27,0
4,0,Bottom performer,15 Euros,29,19,15,1,18,22,0
4,0,Bottom performer,10 Euros,33,14,10,1,14,22,1
4,0,Bottom performer,15 Euros,28,21,15,2,15,24,0
4,0,Top performer,15 Euros,35,12,15,2,6,19,1
4,0,Bottom performer,10 Euros,33,14,10,1,15,24,1
4,0,Bottom performer,10 Euros,31,17,10,2,18,21,1
5,1,Top performer,15 Euros,32,12,15,2,3,21,0
5,1,Top performer,15 Euros,32,12,15,4,10,24,1
5,1,Top performer,15 Euros,39,5,15,1,5,28,1
5,1,Bottom performer,10 Euros,30,17,10,2,19,21,0
5,1,Top performer,15 Euros,46,1,15,1,5,21,0
5,1,Top performer,15 Euros,38,6,15,2,7,27,1
5,1,Bottom performer,10 Euros,28,22,10,1,18,22,0
5,1,Top performer,15 Euros,33,10,15,1,8,26,1
5,1,Top performer,15 Euros,36,8,15,3,1,20,0
5,1,Top performer,15 Euros,33,10,15,3,10,26,0
5,1,Top performer,15 Euros,32,12,15,1,12,20,1
5,1,Top performer,15 Euros,38,6,15,1,3,21,0
5,1,Bottom performer,10 Euros,30,17,10,1,19,23,1
5,1,Top performer,15 Euros,40,3,15,1,3,21,1
5,1,Top performer,15 Euros,42,2,15,1,3,22,0
5,1,Bottom performer,10 Euros,30,17,10,2,14,24,1
5,1,Bottom performer,10 Euros,30,17,10,1,18,20,0
5,1,Top performer,15 Euros,32,12,15,1,5,22,0
5,1,Top performer,15 Euros,40,3,15,1,5,27,0
5,1,Bottom performer,10 Euros,26,24,10,2,14,19,0
5,1,Bottom performer,10 Euros,27,23,10,4,20,21,1
5,1,Bottom performer,10 Euros,29,21,10,1,16,22,1
5,1,Top performer,15 Euros,34,9,15,2,2,19,1
5,1,Top performer,15 Euros,32,12,15,1,9,20,0
6,0,Bottom performer,15 Euros,32,18,15,2,14,22,0
6,0,Bottom performer,10 Euros,29,20,10,3,16,22,0
6,0,Top performer,10 Euros,36,5,10,1,7,23,1
6,0,Bottom performer,10 Euros,33,13,10,2,15,21,0
6,0,Top performer,10 Euros,36,5,10,3,8,28,1
6,0,Top performer,10 Euros,42,2,10,5,3,24,0
6,0,Top performer,15 Euros,39,4,15,1,8,19,0
6,0,Top performer,10 Euros,35,9,10,1,5,23,0
6,0,Top performer,15 Euros,34,11,15,2,5,21,0
6,0,Top performer,15 Euros,35,9,15,2,1,20,0
6,0,Bottom performer,10 Euros,33,13,10,1,16,20,0
6,0,Top performer,15 Euros,36,5,15,1,4,26,1
6,0,Top performer,10 Euros,40,3,10,4,5,23,0
6,0,Top performer,15 Euros,34,11,15,5,9,23,1
6,0,Bottom performer,15 Euros,28,23,15,6,19,21,0
6,0,Bottom performer,10 Euros,33,13,10,3,17,38,1
6,0,Bottom performer,10 Euros,29,20,10,2,22,27,1
6,0,Bottom performer,15 Euros,32,18,15,1,15,18,0
